Movie,Language,Emoji,Plot Hint,Famous Quote
Jersey,Telugu,🏏🚂👨‍👦❤️,A failed cricketer makes a comeback in his late 30s to buy his son a jersey.,It is never too late to dream.
Sita Ramam,Telugu,✉️❄️🪖❤️,An orphaned soldier receives a mysterious letter that changes his life forever.,Ram... Sita Mahalakshmi.
Mungaru Male,Kannada,🌧️🐇💔💍,A young man falls in love during the monsoon but faces a tragic fate.,Preethisuva hudugi...
777 Charlie,Kannada,🐕🌨️🏍️❤️,A grumpy factory worker bonds with an abused stray dog on a road trip.,Charlie is my world.
Kirik Party,Kannada,🎓🚗🍻💥,A mischievous engineering student grows up after a personal loss.,Karna is back!
Lucia,Kannada,💊🎭🔦🍿,An insomniac theater usher takes a pill that blurs dreams and reality.,Kanasu mariyada vyapara.
Rangitaranga,Kannada,👻🌲🚗🔍,A novelist uncovers dark mysteries in his pregnant wife's ancestral village.,Gudugudiya sedi nodo.
Yeh Jawaani Hai Deewani,Hindi,🏔️🎒🚂💃,Friends reunite for a trekking trip and discover love and life goals.,Main udna chahta hoon...
Gangs of Wasseypur,Hindi,🔫🔪💣🕶️,A generational revenge saga between coal mafia families.,Sabka badla lega re tera Faizal.
Munna Bhai M.B.B.S.,Hindi,🩺🫂😂🏥,A local goon pretends to be a medical student to fulfill his father's dream.,Tension lene ka nahi sirf dene ka.
Chak De! India,Hindi,🏑🇮🇳🥇👧,A disgraced hockey player coaches the women's national team to glory.,Sattar minute.
Om Shanti Om,Hindi,🎬🔥👻🕺,A junior artist is murdered and reincarnated to take revenge.,Ek chutki sindoor ki keemat tum kya jano...
Swades,Hindi,🛰️🇮🇳💧💡,A NASA scientist returns to his Indian village to find his roots.,Main nahi manta hamara desh duniya ka sabse mahaan desh hai.
Drishyam,Malayalam,👨‍👩‍👧‍👧🎬🚓🎥,A common man goes to extreme lengths to protect his family from the police.,Visuals can be deceptive.
KGF: Chapter 2,Kannada,⛏️👑🔫🚁,The new overlord of the gold mines faces dangerous new enemies.,Never tolerate intimidation.
Ugramm,Kannada,😡🔪🩸🔥,A dangerous man with a dark past protects a girl from rival gangs.,Ugramm veeram maha vishnum...
The Godfather,English,🕴️🐎🩸🔫,The aging patriarch of an organized crime dynasty transfers control to his son.,I am going to make him an offer he can not refuse.
Gladiator,English,⚔️🛡️🏛️🐅,A betrayed Roman general seeks revenge against a corrupt emperor.,Are you not entertained?
Baahubali 2: The Conclusion,Telugu,👑⚔️🏹🐘,A prince learns the truth about his father and reclaims the throne.,Amarendra Baahubali anu nenu...
Srimanthudu,Telugu,🚴‍♂️👨‍💼💰🛤️,A millionaire son adopts a village to improve the lives of its people.,Ooru chala ichesindi... tirigi icheyali.
Parasite,Korean,🏠🌧️🍑🔪,A poor family schemes to become employed by a wealthy family.,You know what kind of plan never fails? No plan.
Oppenheimer,English,💣🔬🎩💥,A physicist helps develop the first nuclear weapons during World War II.,Now I am become Death the destroyer of worlds.
The Pursuit of Happyness,English,👨‍👦💼🚇🏃‍♂️,A struggling salesman takes an unpaid internship while homeless with his son.,You got a dream... You gotta protect it.
The Green Mile,English,⚡🐁👮‍♂️😢,Death row guards witness supernatural events involving a gentle inmate.,I am tired boss.
Slumdog Millionaire,English,🇮🇳📺💰🏃‍♂️,A teenager from the slums reflects on his life while competing on a game show.,It is written.
Up,English,🎈🏠👴👦,An old man ties thousands of balloons to his house to fly to the wilderness.,Adventure is out there!
The Terminator,English,🤖🕶️🏍️🔫,A cyborg is sent back in time to change the future.,I will be back.
Jaws,English,🦈🏖️🚤🩸,A giant white shark terrorizes a small island community.,You are gonna need a bigger boat.
Toy Story,English,🤠🚀🧸🐍,A cowboy doll feels threatened by a new spaceman figure.,To infinity and beyond!
The Avengers,English,🦸‍♂️🛡️⚡🏹,Earths mightiest heroes must come together to stop Loki.,That is my secret Captain. I am always angry.
Black Panther,English,🐾👑🖤🙅‍♂️,A young king must defend his hidden technologically advanced nation.,Wakanda Forever!
Joker,English,🤡🎭🏙️🩸,A failed comedian descends into madness and chaos.,Put on a happy face.
E.T. the Extra-Terrestrial,English,👽🚲🌕📞,A troubled child helps a friendly alien return home.,E.T. phone home.
Fight Club,English,🥊🧼🏢🤐,An insomniac office worker forms an underground fighting ring.,The first rule of Fight Club is you do not talk about Fight Club.
Animal,Hindi,🪓🩸🧔🔥,A sons obsessive love for his father leads to massive bloodshed.,Sunai de raha hai behra nahi hoon main.
Kalki 2898 AD,Telugu,🏜️🤖🔥🗡️,A futuristic bounty hunter gets involved in an ancient prophecy.,I am Ashwatthama.
Jawan,Hindi,🚂🧑‍🦲🤕🔥,A man driven by a personal vendetta rectifies wrongs in society.,Jab main villain banta hoon na...
Salaar,Telugu,🦖⛏️🩸⚔️,Two friends turn into the fiercest enemies in a dystopian city.,I kindly request!
Vikram,Tamil,🕵️‍♂️🎭💣🔥,A special investigator unravels a massive drug cartel.,Once upon a time there lived a ghost.
Deadpool,English,🔴⚔️🤬🦄,A wisecracking mercenary seeks revenge after a rogue experiment.,Maximum effort!
Shrek,English,🟢👹🧅🐴,An ogre and a talking donkey set out to rescue a princess.,Ogres are like onions.
The Shining,English,🏨❄️🪓👯‍♀️,A family heads to an isolated hotel where an evil presence drives the father crazy.,Here is Johnny!
Rocky,English,🥊🏃‍♂️🥩🏆,A small-time boxer gets a rare chance to fight a heavyweight champion.,Adrian!
Terminator 2: Judgment Day,English,🤖🏍️👍🔥,A machine is sent back to protect a young boy from an advanced cyborg.,Hasta la vista baby.
Mad Max: Fury Road,English,🚗🔥🏜️🎸,A woman rebels against a tyrannical ruler in post-apocalyptic Australia.,What a lovely day!
Baasha,Tamil,🛺🔥🕶️💥,A humble auto driver hides his dark past as a powerful underworld don.,Naan oru thadava sonna nooru thadava sonna madhiri.
Inside Out,English,🧠😊😢😡,A young girls emotions try to guide her through a difficult move.,Take her to the moon for me.
Coco,English,🎸💀🌼🎶,A boy journeys into the Land of the Dead to find his ancestor.,Remember me.
PK,Hindi,👽📻📿🌍,An alien lands on Earth and questions religious dogmas.,Wrong number hai!
Bajrangi Bhaijaan,Hindi,🐒👧🤝🇮🇳,A devoted man takes a mute Pakistani girl back to her homeland.,Hum Bajrangbali ke bhakt hain jhooth nahi bolte.
Kabhi Khushi Kabhie Gham,Hindi,🚁👞👨‍👩‍👦💔,A son is disowned by his strict father for marrying a middle-class girl.,Keh diya na bas keh diya.
Enthiran,Tamil,🤖🕶️🔫📱,A scientist builds a humanoid robot that falls in love with his girlfriend.,Happy Diwali folks!
Leo,Tamil,🦁🍫☕🔫,A mild-mannered cafe owner hides a violent past from a cartel.,Badass ma.
Jailer,Tamil,👴👓🗡️👑,A retired police officer goes on a rampage to avenge his son.,Hukum.
Arya,Telugu,👦🌹🏃‍♂️💔,A carefree guy falls in love with a girl claimed by a local bully.,Feel my love.
Mahanati,Telugu,🎬🎥🎞️😢,The tragic but legendary life story of South Indias greatest actress.,Cinema is my life.
Googly,Kannada,🏏💔🎓😎,A college eccentric falls in love but a misunderstanding drives them apart.,I love you kanri.
Tagaru,Kannada,🔪🕶️🚔🩸,A fearless cop takes on a ruthless underworld boss.,Tagaru banthu Tagaru.
The Batman,English,🦇🌧️🔦❓,A reclusive billionaire solves a string of murders by a cryptic killer.,I am vengeance.
Top Gun: Maverick,English,🛩️🕶️🏍️🚀,A legendary pilot returns to train a new squad for an impossible mission.,It is not the plane it is the pilot.
Barbie,English,👱‍♀️👠🎀💖,A doll suffers a crisis that leads her to question her existence.,I am Kenough.
The Lord of the Rings,English,💍🧙‍♂️🧝‍♂️🌋,A humble hobbit must destroy a powerful artifact to save the world.,You shall not pass!
John Wick,English,🐶🔫🕴️✏️,A retired hitman seeks revenge for his stolen car and murdered puppy.,Yeah I am thinking I am back.
Spider-Man: No Way Home,English,🕷️🕸️🌌🧙‍♂️,A hero accidentally opens the multiverse while trying to erase his identity.,I love you guys.
Dilwale Dulhania Le Jayenge,Hindi,🚂🎸🕊️🌾,Two NRIs fall in love during a Europe trip but face strict family traditions.,Bade bade deshon mein aisi chhoti chhoti baatein hoti rehti hain.
Master,Tamil,🍺👨‍🏫🔫🏫,An alcoholic professor is sent to a juvenile school and clashes with a gangster.,I am waiting.
Avatar: The Way of Water,English,🌊👽🐋🏹,Jake Sully and his family flee to the oceans of Pandora to survive.,The way of water has no beginning and no end.
The Dark Knight Rises,English,🦇🏙️💥🛩️,A brutal terrorist forces the vigilante out of a long retirement.,Ah you think darkness is your ally.
Iron Man,English,⚙️🛠️💥🦸‍♂️,A billionaire genius builds a high tech suit to escape captivity and fight evil.,The truth is I am Iron Man.
Dune,English,🏜️🐛🚁🗡️,A young noble travels to a dangerous desert planet to mine a precious spice.,Dreams are messages from the deep.
Moana,English,🌊🛶🐔🌺,A brave teenager sails across the ocean to return the heart of a goddess.,I am Moana of Motunui.
Aladdin,English,🧞‍♂️🐒🕌✨,A street urchin finds a magical lamp and tries to win the heart of a princess.,Do you trust me?
Beauty and the Beast,English,🌹📚🏰🕰️,A young woman is imprisoned in a castle by a cursed prince.,Tale as old as time.
Pulp Fiction,English,🍔💼💃🔫,Two mob hitmen a boxer and a pair of diner bandits intertwine in tales of violence.,Say what again I dare you.
Schindlers List,English,🏭📝🚂😢,A German industrialist saves over a thousand Jewish refugees during the Holocaust.,Whoever saves one life saves the world entire.
Vikram Vedha,Tamil,🔫👮‍♂️📚🩸,A tough police officer tracks down a legendary gangster who challenges his morals.,A story for a story.
Singham,Hindi,🦁🚓💪😡,An honest and fearless cop fights against a powerful corrupt politician.,Aali re aali aata majhi satakli.
Ghajini,Tamil,🧠📝🔪😡,A businessman with short term memory loss uses tattoos to hunt down his fiances killer.,Kalpana!
Kabali,Tamil,🕶️🦅🏢💥,An aging don is released from prison and seeks to protect his people in Malaysia.,Magizhchi.
Anniyan,Tamil,👓🗡️👹📜,A lawyer suffering from multiple personality disorder becomes a vigilante punishing sinners.,Kumbipagam!
Super Deluxe,Tamil,👽📺🔪💎,Four intertwined stories explore faith morality and the absurdities of life in one crazy day.,Vaazhkai oru mystery.
Thani Oruvan,Tamil,🕵️‍♂️🎤🔬💥,A dedicated cop makes it his life mission to destroy a brilliant criminal mastermind.,Tell me who your enemy is.
Arundhati,Telugu,🏰👻⚔️👸,A brave woman fights an evil spirit that has haunted her family for generations.,Bommali ninnu vadala!
Kshanam,Telugu,👧🔍📞🚔,A man returns from America to help his ex girlfriend find her kidnapped daughter.,Where is Ria?
Kumbalangi Nights,Malayalam,🏚️🎣👨‍👦‍👦🌙,Four estranged brothers must put aside their differences to support each other.,Shammi hero da.
Premam,Malayalam,🦋🧔💔☕,A man goes through three different stages of love and heartbreak in his life.,Malare ninne kanaathirunnal...
La La Land,English,🎹💃🌆🎷,A jazz pianist and an aspiring actress fall in love but face career struggles.,Here is to the ones who dream.
The Notebook,English,🌧️🛶💌👴,A poor mill worker and a rich girl fall deeply in love over a fateful summer.,It was not over. It still is not over.
Geetha Govindam,Telugu,🚌👩‍🏫🤦‍♂️❤️,A misunderstanding makes a strict woman hate a young man who desperately tries to win her heart.,Madam madam...
96,Tamil,📸🏫💛🎸,High school sweethearts reunite at a reunion after twenty-two years apart.,Ram... Jaanu.
Veer-Zaara,Hindi,🚁🇮🇳🇵🇰⚖️,An Indian pilot and a Pakistani woman fall in love but are separated for twenty-two years.,Aisa des hai mera.
Dia,Kannada,🚂💔👩‍⚕️😢,A quiet girl faces tragic twists of fate while navigating her complicated love life.,Life is full of surprises.
O Kadhal Kanmani,Tamil,🌧️🚂🎮💑,Two young professionals decide to live together without getting married.,Tara and Adi.
Minnale,Tamil,🌩️📞🛵💔,A man falls in love with an engaged woman and pretends to be her future husband.,Maddy Maddy!
Fidaa,Telugu,🚜🇺🇸💃☔,A spirited village girl and an NRI doctor clash and fall in love.,Bhanumathi one and only piece.
Jab We Met,Hindi,🚂⛰️👧🏻💔,A depressed businessman meets a talkative girl on a train who completely changes his life.,Main apni favorite hoon.
Eternal Sunshine of the Spotless Mind,English,🧠❄️🚂💔,A couple undergoes a medical procedure to totally erase each other from their memories.,Meet me in Montauk.
Pride and Prejudice,English,🌧️🏰📚🎩,A spirited young woman and a wealthy proud man must overcome their personal biases.,You have bewitched me body and soul.
Before Sunrise,English,🚂🌆🚶‍♂️💬,Two strangers meet on a train and spend a romantic night walking around Vienna.,Think of this as time travel.
Kal Ho Naa Ho,Hindi,🌉💔👼📖,An angel with a failing heart teaches a pessimistic girl how to live and love again.,Haso jiyo muskurao... kya pata kal ho naa ho.
Aashiqui 2,Hindi,🎤🌧️🎸🥃,A failing alcoholic singer falls for a rising star and sacrifices himself for her success.,Tum hi ho.
Mouna Ragam,Tamil,🎁💔🚪🚂,A woman grieving her dead lover is forced into an arranged marriage.,I want a divorce.
Bommarillu,Telugu,👨‍👦🚲👧🚦,An overprotected son rebels against his controlling father for the girl he loves.,Ha ha hasini...
Vinnaithaandi Varuvaayaa,Tamil,⛪🎬💔🚂,A Hindu assistant director falls for a strict Christian woman who lives upstairs.,Will you be my Jessie?
Kushi,Telugu,👖📖🧘‍♂️❤️,Two egoistic college students fall in love but refuse to admit it to each other.,Ammadu Appachi...
Kaho Naa Pyaar Hai,Hindi,🚢🏝️🎸🕺,A girl loses her lover but later meets his exact lookalike in another country.,Kaho naa pyaar hai.
